Song_Name,BPM,MFCC_Mean,Brightness,Mood
nastelbom-motivation-345722.mp3,103.359375,3.290656,867.3953457564352,Motivation
nastelbom-motivation-442631.mp3,172.265625,-2.7339656,748.5686943714476,Motivation
nastelbom-motivation-453514.mp3,117.45383522727273,-2.8100784,1214.5863271846047,Motivation
nastelbom-motivation-455965.mp3,103.359375,2.1277616,1271.1009207865754,Motivation
nastelbom-motivation-motivation-music-481663.mp3,135.99917763157896,-1.239059,1101.3586206348932,Motivation
nastelbom-no-copyright-music-464358.mp3,117.45383522727273,2.5230892,1986.3099735816645,Happy
nastelbom-no-copyright-music-473269.mp3,89.10290948275862,6.7803845,2012.5164776172455,Happy
nastelbom-no-copyright-music-490159.mp3,123.046875,4.7309933,906.6663637804548,Happy
nikitakondrashev-sad-piano-501483.mp3,161.4990234375,2.023105,452.3711091134369,Sad
omarfarukjafree-black-mist-horror-bgm-429496.mp3,48.75442216981132,-12.065128,527.759478921099,Haunting
omarfarukjafree-fear-frequency-horror-bgm-429494.mp3,151.99908088235293,-23.69362,741.596933860375,Haunting
omarfarukjafree-shadows-beneath-horror-bgm-429490.mp3,60.09265988372093,-0.66746455,520.4948014560298,Haunting
paulyudin-energetic-490392.mp3,89.10290948275862,8.856666,2114.003146916093,Energetic
paulyudin-happy-happy-music-113979.mp3,198.76802884615384,1.207063,2565.8162002160843,Happy
paulyudin-happy-happy-music-477929.mp3,99.38401442307692,0.7760225,2288.922071614715,Happy
paulyudin-motivation-485931.mp3,112.34714673913044,0.11697118,1730.1128978740594,Motivation
paulyudin-no-copyright-music-482400.mp3,117.45383522727273,2.9795616,1453.3732626417668,Chill
paulyudin-sad-sad-music-485935.mp3,92.28515625,-17.873474,804.797602184168,Sad
peacockmusic-happy-happy-music-502261.mp3,95.703125,-6.9071584,2605.6328635884156,Happy
peacockmusic-sad-sorrowful-documentary-music-484357.mp3,135.99917763157896,-6.03314,1347.007619296596,Sad
playstarz_music-happy-background-music-442792.mp3,95.703125,6.7542152,1758.7386969128956,Happy
pocketbeats-love-story-sad-music-background-336560.mp3,95.703125,-7.2713103,641.0436413801743,Sad
prettyjohn1-sad-background-music-489875.mp3,99.38401442307692,7.8173256,658.4865174330973,Sad
rains766-bgm-for-commercial-bright-amp-energetic-rock-shine-forward-358921.mp3,99.38401442307692,6.4545045,2266.5877340176544,Energetic
sekuora-energetic-bgm-242515.mp3,112.34714673913044,-0.9564146,2319.277915211336,Energetic
sekuora-fun-piano-bgm-242448.mp3,172.265625,-2.1004016,1831.061071698071,Happy
sigmamusicart-happy-kids-background-music-456466.mp3,129.19921875,-2.2111235,2725.4104826148173,Happy
sigmamusicart-motivation-258263 (1).mp3,161.4990234375,2.7553756,2404.2463812665615,Motivation
sigmamusicart-motivation-258263.mp3,161.4990234375,2.7553756,2404.2463812665615,Motivation
sigmamusicart-no-copyright-music-504002.mp3,117.45383522727273,7.60957,1731.4780112481355,Chill
sigmamusicart-sad-documentary-background-music-365827.mp3,107.666015625,-7.405943,394.6993537258454,Sad
sigmamusicart-sad-emotional-piano-background-music-462089.mp3,117.45383522727273,-19.090055,704.9554429649611,Sad
solarflex-sad-dramatic-music-3-491493.mp3,60.09265988372093,-18.466564,640.671326720929,Sad
solarflex-sad-dramatic-music-491494.mp3,89.10290948275862,-0.908316,1304.835932256687,Sad
soulfuljamtracks-happy-happy-music-500007.mp3,107.666015625,-3.957455,1691.9114796066979,Happy
soundgallerybydmitrytaras-motivation-174649.mp3,89.10290948275862,8.944331,2039.4859989201268,Motivation
starostin-comedy-cartoon-funny-background-music-492540.mp3,107.666015625,1.5649809,1768.2529490467305,Chill
stevekaldes-plea-for-forgiveness-stevekaldes-piano-art-ayla-heefner-401168.mp3,172.265625,-12.694876,692.2989076180567,Sad
the_mountain-happy-happy-music-496549.mp3,112.34714673913044,-1.0194631,2682.060215166951,Happy
the_mountain-motivation-487018.mp3,103.359375,5.9185677,1451.2683585682878,Motivation
the_mountain-no-copyright-music-494934.mp3,117.45383522727273,5.6904297,2465.5844658772453,Chill
the_mountain-sad-piano-252953.mp3,117.45383522727273,-7.275111,408.31076615224407,Sad
tunetank-emotional-sad-guitar-music-349888.mp3,143.5546875,-2.19147,868.5019965976219,Sad
tunetank-sad-documentary-music-background-347263.mp3,143.5546875,-6.6787124,777.5066207130945,Sad
tunetank-sad-piano-background-348543.mp3,99.38401442307692,-7.1039834,527.4067010858653,Sad
tunetank-sad-piano-music-347956.mp3,10.633680555555555,-3.9329662,449.47401032373176,Sad
vfs_world-sad-love-breakup-mashup-instrumental-feel-the-music-459780.mp3,86.1328125,-15.878326,1188.7059666985974,Sad
watermello-motivation-motivational-477129.mp3,66.25600961538461,6.24596,2754.800700877718,Motivation
watermello-sad-sadness-477140.mp3,86.1328125,-5.81794,1362.9049619459727,Sad
x7beatz-movie-bgm-328248.mp3,99.38401442307692,-1.098687,1739.3424869864095,Chill
